gene	idx
C3orf14	396
C3orf49	397
C3orf84	398
C4orf19	399
C4orf47	400
C4orf54	401
C5orf58	402
C6orf120	403
C6orf15	404
C6orf226	405
C7	406
C8B	407
C8orf33	408
C8orf34	409
C8orf74	410
C8orf89	411
C9orf72	412
CA10	413
CA2	414
CA4	415
CA5A	416
CA6	417
CA9	418
CABCOCO1	419
CABP2	420
CABP5	421
CABS1	422
CACNA1I	423
CACNA2D1	424
CACNG1	425
CACNG2	426
CACNG4	427
CACNG6	428
CADM3	429
CADPS	430
CADPS2	431
CALB2	432
CALCA	433
CALD1	434
CALHM2	435
CALHM4	436
CALHM6	437
CALML3	438
CALML5	439
CAMK1	440
CAMK2N2	441
CAMK4	442
CAPG	443
CAPN1	444
CAPN13	445
CARD14	446
CARD18	447
CARHSP1	448
CASP10	449
CASP4	450
CASP8	451
CASQ1	452
CATIP	453
CAV1	454
CAVIN3	455
CBLB	456
CBLC	457
CBR3	458
CBX4	459
CBY3	460
CC2D2A	461
CCDC110	462
CCDC166	463
CCDC182	464
CCDC185	465
CCDC187	466
CCDC190	467
CCDC195	468
CCDC200	469
CCDC3	470
CCDC33	471
CCDC38	472
CCDC50	473
CCDC54	474
CCDC6	475
CCDC60	476
CCDC69	477
CCDC7	478
CCDC71L	479
CCDC8	480
CCDC83	481
CCDC85B	482
CCDC87	483
CCDC92	484
CCK	485
CCKAR	486
CCL1	487
CCL13	488
CCL17	489
CCL18	490
CCL19	491
CCL2	492
CCL20	493
CCL21	494
CCL22	495
CCL26	496
CCL3	497
CCL3L3	498
CCL4	499
CCL4L2	500
CCL5	501
CCM2L	502
CCN1	503
CCN2	504
CCN3	505
CCN4	506
CCNA2	507
CCNB1	508
CCNB2	509
CCND1	510
CCNE2	511
CCNF	512
CCNG1	513
CCNG2	514
CCNI2	515
CCNL1	516
CCNO	517
CCR1	518
CCR10	519
CCR2	520
CCR3	521
CCR4	522
CCR5	523
CCR6	524
CCR7	525
CCR8	526
CCR9	527
CCT8L2	528
CD109	529
CD160	530
CD163	531
CD164L2	532
CD177	533
CD180	534
CD200	535
CD209	536
CD24	537
CD27	538
CD274	539
CD300A	540
CD300LB	541
CD300LD	542
CD300LF	543
CD37	544
CD38	545
CD40LG	546
CD55	547
CD68	548
CD69	549
CD7	550
CD70	551
CD74	552
CD79B	553
CD80	554
CD82	555
CD83	556
CD84	557
CD8A	558
CD9	559
CDC14A	560
CDC20	561
CDC25B	562
CDC42EP3	563
CDC45	564
CDC6	565
CDCA2	566
CDCA3	567
CDCA5	568
CDCA7	569
CDCA7L	570
CDCA8	571
CDH1	572
CDH10	573
CDH16	574
CDH17	575
CDH18	576
CDH3	577
CDH5	578
CDH6	579
CDH8	580
CDK1	581
CDK5R2	582
CDKN1A	583
CDKN1B	584
CDKN1C	585
CDKN2A	586
CDKN2AIP	587
CDKN2B	588
CDKN2C	589
CDKN2D	590
CDO1	591
CDR1	592
CDRT15L2	593
CDSN	594
CDT1	595
CDX1	596
CEACAM16	597
CEACAM3	598
CEACAM5	599
CEACAM6	600
CEACAM7	601
CEACAM8	602
CEBPA	603
CEBPB	604
CEBPD	605
CELA1	606
CELA3B	607
CEMIP	608
CEMIP2	609
CEMP1	610
CENPA	611
CENPE	612
CENPF	613
CENPH	614
CENPM	615
CENPN	616
CENPP	617
CENPU	618
CENPVL3	619
CENPW	620
CEP55	621
CER1	622
CES4A	623
CETN1	624
CETP	625
CFAP100	626
CFAP141	627
CFAP221	628
CFAP300	629
CFAP43	630
CFAP47	631
CFAP57	632
CFAP90	633
CFAP95	634
CFAP97D1	635
CFAP97D2	636
CFP	637
CGA	638
CH25H	639
CHAC1	640
CHAD	641
CHAF1A	642
CHD2	643
CHD7	644
CHDH	645
CHGA	646
CHIA	647
CHMP1B	648
CHMP7	649
CHRD	650
CHRDL1	651
CHRM1	652
CHRM2	653
CHRNA1	654
CHRNA2	655
CHRNA4	656
CHRNB2	657
CHRNB3	658
CHRND	659
CHST1	660
CHST12	661
CHSY1	662
CIDEA	663
CIITA	664
CIROP	665
CIT	666
CITED2	667
CITED4	668
CKAP2	669
CKAP2L	670
CKB	671
CKM	672
CKS1B	673
CKS2	674
CLCA1	675
CLCA4	676
CLCF1	677
CLDN17	678
CLDN18	679
CLDN19	680
CLDN22	681
CLDN23	682
CLDN25	683
CLDN5	684
CLDN6	685
CLDN7	686
CLDN8	687
CLEC10A	688
CLEC18C	689
CLEC19A	690
CLEC2A	691
CLEC2B	692
CLEC4G	693
CLEC7A	694
CLIC3	695
CLIC4	696
CLK1	697
CLK4	698
CLMP	699
CLNK	700
CLPSL1	701
CLSPN	702
CLSTN2	703
CLSTN3	704
CLU	705
CMPK2	706
CMSS1	707
CNGA2	708
CNMD	709
CNN1	710
CNN2	711
CNNM4	712
CNR1	713
CNRIP1	714
CNTN2	715
CNTN4	716
CNTNAP4	717
COL14A1	718
COL1A2	719
COL20A1	720
COL24A1	721
COL4A2	722
COL4A3	723
